Part #,Description,Thick,Length,Width,Copies,Material Name,Can Rotate,Banding,<Info>,Notes
1,master,18,2590,600,2,18mm White PB 9*6,Yes,0W-1L,,
2,,18,2555,520,4,18mm White PB 9*6,Yes,0W-1L,,
3,,18,1020,600,4,18mm White PB 9*6,Yes,0W-1L,,
4,,18,1040,600,2,18mm White PB 9*6,Yes,0W-1L,,
5,,18,1005,520,4,18mm White PB 9*6,Yes,0W-1L,,
6,,18,2000,520,1,18mm White PB 9*6,Yes,0W-1L,,
7,,18,2010,520,1,18mm White PB 9*6,Yes,0W-1L,,
8,,18,520,360,5,18mm White PB 9*6,Yes,1W-0L,,
9,,18,580,520,1,18mm White PB 9*6,Yes,0W-1L,,
10,,18,560,520,4,18mm White PB 9*6,Yes,0W-1L,,
11,,18,490,150,8,18mm White PB 9*6,Yes,0W-1L,,
12,,18,450,150,8,18mm White PB 9*6,Yes,0W-1L,,
13,,18,430,470,1,18mm White PB 9*6,Yes,1W-1L,,
14,,18,425,470,1,18mm White PB 9*6,Yes,1W-1L,,
15,,18,555,200,2,18mm White PB 9*6,Yes,2W-2L,,
16,,18,580,200,2,18mm White PB 9*6,Yes,2W-2L,,
17,doors,18,2590,1200,3,18mm African Wenge PG PB 9*6,No,2W-2L,,
18,,3,2430,1210,3,3mm White Plywood 8*4,No,None,,
19,shoe rack,18,2130,580,2,18mm White PB 8*4,Yes,0W-1L,,
20,,18,955,580,2,18mm White PB 8*4,Yes,0W-1L,,
21,,18,930,560,10,18mm White PB 8*4,Yes,2W-2L,,
22,d00rs,18,2130,495,1,18mm African Wenge PG PB 9*6,No,2W-2L,,
23,,18,2130,490,1,18mm African Wenge PG PB 9*6,No,2W-2L,,
24,,3,2430,1210,1,3mm White Plywood 8*4,No,None,,
25,"bedrooms 1, 2",18,2395,520,4,18mm White PB 8*4,Yes,0W-1L,,
26,,18,2430,600,4,18mm White PB 8*4,Yes,0W-1L,,
27,,18,1415,520,2,18mm White PB 8*4,Yes,0W-1L,,
28,,18,700,520,8,18mm White PB 8*4,Yes,0W-1L,,
29,,18,1550,520,2,18mm White PB 8*4,Yes,0W-1L,,
30,,18,415,520,2,18mm White PB 8*4,Yes,0W-1L,,
31,,18,350,520,6,18mm White PB 8*4,Yes,0W-1L,,
32,,18,450,150,8,18mm White PB 8*4,Yes,0W-1L,,
33,,18,530,150,8,18mm White PB 8*4,Yes,0W-1L,,
34,,18,600,200,2,18mm White PB 8*4,Yes,2W-2L,,
35,,18,600,200,2,18mm White PB 8*4,Yes,2W-2L,,
36,,3,2430,1210,2,3mm White Plywood 8*4,No,None,,
37,doors,18,2430,850,4,18mm African Wenge PG PB 9*6,No,2W-2L,,
 ,,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
